,Closing Price,Predicted Closing Price
2024-03-12,40600.0,
2024-03-13,41950.0,
2024-03-14,41650.0,
2024-03-15,41500.0,
2024-03-18,40950.0,
2024-03-19,39700.0,
2024-03-20,40050.0,
2024-03-21,39800.0,
2024-03-22,40000.0,
2024-03-25,39300.0,
2024-03-26,40150.0,
2024-03-27,40150.0,
2024-03-28,40450.0,
2024-03-29,39950.0,
2024-04-01,40200.0,
2024-04-02,40150.0,
2024-04-03,42950.0,
2024-04-04,45950.0,
2024-04-05,47300.0,
2024-04-08,45050.0,
2024-04-09,48000.0,
2024-04-10,48900.0,
2024-04-11,48100.0,
2024-04-12,49300.0,
2024-04-15,45850.0,
2024-04-16,45850.0,
2024-04-17,44150.0,
2024-04-19,41550.0,
2024-04-22,42350.0,
2024-04-23,42800.0,
2024-04-24,45300.0,
2024-04-25,44600.0,
2024-04-26,44650.0,
2024-05-02,46150.0,
2024-05-03,45100.0,
2024-05-06,46850.0,
2024-05-07,48450.0,
2024-05-08,51800.0,
2024-05-09,55400.0,
2024-05-10,58900.0,
2024-05-13,58400.0,
2024-05-14,62400.0,
2024-05-15,63000.0,
2024-05-16,60600.0,
2024-05-17,61300.0,
2024-05-20,59000.0,
2024-05-21,61500.0,
2024-05-22,61200.0,
2024-05-23,63600.0,
2024-05-24,59700.0,
2024-05-27,59000.0,
2024-05-28,62100.0,
2024-05-29,60000.0,
2024-05-30,59200.0,
2024-05-31,60900.0,
2024-06-03,65100.0,
2024-06-04,68500.0,
2024-06-05,67200.0,
2024-06-06,68400.0,
2024-06-07,68400.0,
2024-06-10,69500.0,
2024-06-11,68600.0,
2024-06-12,69600.0,
2024-06-13,70000.0,
2024-06-14,70000.0,
2024-06-17,67900.0,
2024-06-18,68400.0,
2024-06-19,69900.0,
2024-06-20,69900.0,
2024-06-21,70600.0,
2024-06-24,66400.0,
2024-06-25,63700.0,
2024-06-26,64800.0,
2024-06-27,63400.0,
2024-06-28,61000.0,
2024-07-01,62300.0,
2024-07-02,63200.0,
2024-07-03,62800.0,
2024-07-04,64400.0,
2024-07-05,64200.0,
2024-07-08,63800.0,
2024-07-09,64500.0,
2024-07-10,66200.0,
2024-07-11,65200.0,
2024-07-12,63800.0,
2024-07-15,62100.0,
2024-07-16,60000.0,
2024-07-17,56200.0,
2024-07-18,57200.0,
2024-07-19,56000.0,
2024-07-22,54100.0,
2024-07-23,54100.0,
2024-07-24,54500.0,
2024-07-25,53400.0,
2024-07-26,56500.0,
2024-07-29,56600.0,
2024-07-30,55400.0,
2024-07-31,55000.0,
2024-08-01,51200.0,
2024-08-02,52300.0,
2024-08-05,48650.0,
2024-08-06,50100.0,
2024-08-07,51000.0,
2024-08-08,48700.0,
2024-08-09,50800.0,
2024-08-12,51800.0,
2024-08-13,51500.0,
2024-08-14,50900.0,
2024-08-15,49750.0,
2024-08-16,52200.0,
2024-08-19,53000.0,
2024-08-20,53100.0,
2024-08-21,52600.0,
2024-08-22,54700.0,
2024-08-23,53800.0,
2024-08-26,52800.0,
2024-08-27,52500.0,
2024-08-28,52300.0,
2024-08-29,53500.0,
2024-08-30,52800.0,
2024-09-04,53000.0,
2024-09-05,52100.0,
2024-09-06,51800.0,
2024-09-09,51000.0,
2024-09-10,49500.0,
2024-09-11,50300.0,
2024-09-12,50800.0,
2024-09-13,51100.0,
2024-09-16,50400.0,
2024-09-17,50900.0,
2024-09-18,52500.0,
2024-09-19,52200.0,
2024-09-20,52100.0,
2024-09-23,51100.0,
2024-09-24,51800.0,
2024-09-25,51500.0,
2024-09-26,51500.0,
2024-09-27,51000.0,
2024-09-30,50800.0,
2024-10-01,51900.0,
2024-10-02,51100.0,
2024-10-03,50400.0,
2024-10-04,50200.0,
2024-10-07,50200.0,
2024-10-08,49700.0,
2024-10-09,51000.0,
2024-10-10,53500.0,
2024-10-11,53000.0,
2024-10-14,53100.0,
2024-10-15,52000.0,
2024-10-16,52000.0,
2024-10-17,52700.0,
2024-10-18,52100.0,
2024-10-21,53400.0,
2024-10-22,51700.0,
2024-10-23,51400.0,
2024-10-24,50600.0,
2024-10-25,50700.0,
2024-10-28,51300.0,
2024-10-29,52800.0,
2024-10-30,52700.0,
2024-10-31,51900.0,
2024-11-01,50600.0,
2024-11-04,51300.0,
2024-11-05,50500.0,
2024-11-06,51200.0,
2024-11-07,53000.0,
2024-11-08,53700.0,
2024-11-11,57400.0,
2024-11-12,58400.0,
2024-11-13,58800.0,
2024-11-14,57000.0,
2024-11-15,57900.0,
2024-11-18,57700.0,
2024-11-19,53700.0,
2024-11-20,53800.0,
2024-11-21,54000.0,
2024-11-22,53300.0,
2024-11-25,52800.0,
2024-11-26,53300.0,
2024-11-27,54000.0,
2024-11-28,54400.0,
2024-11-29,56800.0,
2024-12-02,56300.0,
2024-12-03,58300.0,
2024-12-04,56500.0,
2024-12-05,57000.0,
2024-12-06,57900.0,
2024-12-09,56700.0,
2024-12-10,56600.0,
2024-12-11,57000.0,
2024-12-12,55700.0,
2024-12-13,54200.0,
2024-12-16,55700.0,
2024-12-17,55000.0,
2024-12-18,55600.0,
2024-12-19,56500.0,
2024-12-20,56500.0,
2024-12-23,55800.0,
2024-12-24,55000.0,
2024-12-25,55900.0,
2024-12-26,55400.0,
2024-12-27,53900.0,
2024-12-30,49100.0,
2024-12-31,49250.0,
2025-01-02,49300.0,
2025-01-03,49350.0,
2025-01-06,49000.0,
2025-01-07,48150.0,
2025-01-08,47200.0,
2025-01-09,46000.0,
2025-01-10,44650.0,
2025-01-13,44800.0,
2025-01-14,44800.0,
2025-01-15,45100.0,
2025-01-16,46100.0,
2025-01-17,47450.0,
2025-01-20,46600.0,
2025-01-21,46950.0,
2025-01-22,46400.0,
2025-01-23,47500.0,
2025-01-24,47100.0,
2025-02-03,44800.0,
2025-02-04,45400.0,
2025-02-05,45800.0,
2025-02-06,45200.0,
2025-02-07,44950.0,
2025-02-10,44050.0,
2025-02-11,44650.0,
2025-02-12,45350.0,
2025-02-13,45250.0,
2025-02-14,45000.0,
2025-02-17,44550.0,
2025-02-18,44600.0,
2025-02-19,45250.0,
2025-02-20,44900.0,
2025-02-21,44700.0,
2025-02-24,44150.0,
2025-02-25,44200.0,
2025-02-26,44600.0,
2025-02-27,44450.0,
2025-02-28,44400.0,
2025-03-03,44350.0,
2025-03-04,44150.0,
2025-03-05,44000.0,
2025-03-06,44600.0,
2025-03-07,44350.0,
2025-03-10,43950.0,
2025-03-11,43100.0,
2025-03-12,42250.0,
2025-03-13,48729.99954223633,45475.848
2025-03-14,50029.998779296875,45527.81
2025-03-15,,45690.945
2025-03-16,,45904.484
2025-03-17,49650.001525878906,46136.855
2025-03-18,47790.000915527344,
2025-03-19,48990.0016784668,
2025-03-20,49000.0,
2025-03-21,48529.998779296875,
2025-03-24,49599.998474121094,
2025-03-25,49509.9983215332,
2025-03-26,50069.99969482422,
2025-03-27,50919.99816894531,
2025-03-28,49909.99984741211,
2025-03-31,50209.999084472656,
2025-04-01,51669.99816894531,
2025-04-02,52020.00045776367,
2025-04-03,50080.00183105469,
2025-04-04,47290.000915527344,
2025-04-07,46669.99816894531,
2025-04-08,45979.99954223633,
2025-04-09,50930.00030517578,
2025-04-10,50270.00045776367,
2025-04-11,49759.9983215332,
2025-04-14,49459.999084472656,
2025-04-15,48799.99923706055,
2025-04-16,48080.00183105469,
2025-04-17,48169.99816894531,
2025-04-21,46529.998779296875,
2025-04-22,47099.998474121094,
2025-04-23,48759.9983215332,
2025-04-24,49540.000915527344,
2025-04-25,51779.998779296875,
2025-04-28,50900.001525878906,
2025-04-29,50650.001525878906,
2025-04-30,50520.00045776367,
2025-05-01,50319.99969482422,
2025-05-02,51560.001373291016,
2025-05-05,50009.9983215332,
2025-05-06,50360.00061035156,
2025-05-07,51639.99938964844,
2025-05-08,,50990.223
2025-05-09,,51101.996
2025-05-10,,51217.535
